101. 买 | mǎi | to buy; to purchase
102. 岁 | suì | variant of 岁, year; years old
103. 住 | zhù | to live; to dwell; to stay
104. 朋友 | péng you | friend
105. 水 | Shuǐ | surname Shui
106. 写 | xiě | to write
107. 日 | Rì | abbr. for 本, Japan
108. 喝 | hē | to drink; variant of 嗬
109. 学校 | xué xiào | school
110. 坐 | Zuò | surname Zuo
111. 认识 | rèn shi | to know; to recognize; to be familiar with
112. 分钟 | fēn zhōng | minute
113. 明天 | míng tiān | tomorrow
114. 四 | sì | four; 4
115. 块 | kuài | lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units
116. 谢谢 | xiè xie | to thank; thanks; thank you
117. 多少 | duō shǎo | number; amount; somewhat
118. 妈妈 | mā ma | mama; mommy; mother
119. 少 | shǎo | few; less; to lack
120. 电影 | diàn yǐng | movie; film
121. 哪 | nǎ | how; which
122. 昨天 | zuó tiān | yesterday
123. 书 | Shū | abbr. for 书经
124. 五 | wǔ | five; 5
125. 先生 | xiān sheng | teacher; gentleman; sir; mister (Mr.); husband
126. 医院 | yī yuàn | hospital
127. 些 | xiē | classifier indicating a small amount or small number greater than 1: some, a few, several
128. 狗 | gǒu | dog
129. 学生 | xué sheng | student; schoolchild
130. 二 | èr | two; 2; (Beijing dialect) stupid
131. 儿子 | ér zi | son
132. 中国 | Zhōng guó | China
133. 电视 | diàn shì | television; TV
134. 下午 | xià wǔ | afternoon; p.m.
135. 学习 | xué xí | to learn; to study
136. 老师 | lǎo shī | teacher
137. 六 | liù | six; 6
138. 医生 | yī shēng | doctor
139. 名字 | míng zi | name (of a person or thing)
140. 十 | shí | ten; 10
141. 看见 | kàn jiàn | to see; to catch sight of
142. 女儿 | nǚ ér | daughter
143. 说话 | shuō huà | to speak; to say; to talk
144. 爸爸 | bà ba | (coll.) father; dad
145. 字 | zì | letter; symbol; character
146. 漂亮 | piào liang | pretty; beautiful
147. 高兴 | gāo xìng | happy; glad; willing (to do sth)
148. 热 | rè | to warm up; to heat up; hot (of weather)
149. 睡觉 | shuì jiào | to go to bed; to sleep
150. 电脑 | diàn nǎo | computer
151. 读 | dòu | comma; phrase marked by pause
152. 冷 | Lěng | surname Leng
153. 飞机 | fēi jī | airplane
154. 猫 | māo | cat; (dialect) to hide oneself; (coll.) modem
155. 打电话 | dǎ diàn huà | to make a telephone call
156. 后面 | hòu mian | the back; the rear; the last bit; behind; near the end; at the back; later; afterwards
157. 喂 | wéi | hello (when answering the phone)
158. 八 | bā | eight; 8
159. 怎么样 | zěn me yàng | how?; how about?; how was it?
160. 七 | qī | seven; 7
161. 菜 | cài | dish (type of food); vegetable; cuisine
162. 衣服 | yī fu | clothes
163. 小姐 | xiǎo jie | young lady; miss; (slang) prostitute
164. 对不起 | duì bu qǐ | I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
165. 天气 | tiān qì | weather
166. 前面 | qián miàn | ahead; in front; preceding
167. 同学 | tóng xué | to study at the same school; fellow student; classmate
168. 茶 | chá | tea; tea plant
169. 星期 | xīng qī | week; day of the week; Sunday
170. 九 | jiǔ | nine; 9
171. 上午 | shàng wǔ | morning
172. 再见 | zài jiàn | goodbye; see you again later
173. 苹果 | píng guǒ | apple
174. 中午 | zhōng wǔ | noon; midday
175. 出租车 | chū zū chē | taxi; (Tw) rental car
176. 水果 | shuǐ guǒ | fruit
177. 商店 | shāng diàn | store; shop
178. 没关系 | méi guān xi | it doesn't matter
179. 零 | líng | zero; nought; zero sign
180. 桌子 | zhuō zi | table; desk
181. 椅子 | yǐ zi | chair
182. 北京 | Běi jīng | Beijing, capital of the People's Republic of China
183. 下雨 | xià yǔ | to rain
184. 杯子 | bēi zi | cup; glass
185. 火车站 | huǒ chē zhàn | train station
186. 米饭 | mǐ fàn | (cooked) rice
187. 汉语 | Hàn yǔ | Chinese language
188. 饭馆 | fàn guǎn | restaurant
189. 不客气 | bù kè qi | you're welcome; don't mention it; impolite
190. 就 | jiù | (after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 是) merely; nothing else but; simply; just; precisely; exactly
191. 要 | yāo | (bound form) to demand; to coerce
192. 也 | Yě | surname Ye
193. 到 | dào | to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point)
194. 还 | Huán | surname Huan
195. 着 | zhāo | (chess) move; trick; all right!
196. 给 | gěi | to; for; for the benefit of
197. 让 | ràng | to yield; to permit; to let sb do sth
198. 为 | wéi | as (in the capacity of); to take sth as; to act as
199. 可以 | kě yǐ | can; may; possible
200. 吧 | bā | bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang
