601. 伞 | sǎn | umbrella; parasol
602. 有名 | yǒu míng | famous; well-known
603. 打扫 | dǎ sǎo | to clean; to sweep
604. 复习 | fù xí | to review; revision
605. 熊猫 | xióng māo | panda
606. 护照 | hù zhào | passport
607. 菜单 | cài dān | menu
608. 年级 | nián jí | grade; year (in school, college etc)
609. 果汁 | guǒ zhī | fruit juice
610. 面条 | miàn tiáo | noodles
611. 盘子 | pán zi | tray; plate; dish
612. 铅笔 | qiān bǐ | (lead) pencil
613. 渴 | kě | thirsty
614. 洗手间 | xǐ shǒu jiān | toilet; lavatory; washroom
615. 词语 | cí yǔ | word (general term including monosyllables through to short phrases); term (e.g. technical term); expression
616. 句子 | jù zi | sentence
617. 照相机 | zhào xiàng jī | camera
618. 筷子 | kuài zi | chopsticks
619. 字典 | zì diǎn | Chinese character dictionary (containing entries for single characters, contrasted with a 词典, which has entries for words of one or more characters); (coll.) dictionary
620. 普通话 | pǔ tōng huà | Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech
621. 爬山 | pá shān | to climb a mountain; to mountaineer; hiking
622. 黑板 | hēi bǎn | blackboard
623. 行李箱 | xíng li xiāng | suitcase; baggage compartment; overhead bin
624. 对 | duì | right; correct; towards; at; for; concerning; regarding
625. 过 | Guō | surname Guo
626. 而 | ér | and; as well as; and so
627. 等 | děng | class; rank; grade
628. 与 | yú | variant of 欤
629. 当 | dāng | (onom.) dong; ding dong (bell)
630. 之 | zhī | (possessive particle, literary equivalent of 的); him; her
631. 以 | yǐ | old variant of 以
632. 起来 | qǐ lai | to stand up; to get up; also pr. [qǐ lái]
633. 死 | sǐ | to die; impassable; uncrossable
634. 却 | què | old variant of 却
635. 生活 | shēng huó | to live; life; livelihood
636. 发生 | fā shēng | to happen; to occur; to take place; to break out
637. 不过 | bù guò | only; merely; no more than
638. 所有 | suǒ yǒu | all; to have; to possess; to own
639. 情况 | qíng kuàng | circumstances; state of affairs; situation
640. 最后 | zuì hòu | final; last; finally
641. 成为 | chéng wéi | to become; to turn into
642. 行 | háng | row; line; commercial firm
643. 感觉 | gǎn jué | feeling; impression; sensation; to feel; to perceive
644. 继续 | jì xù | to continue; to proceed with; to go on with
645. 场 | cháng | threshing floor; classifier for events and happenings: spell, episode, bout
646. 进行 | jìn xíng | to advance; to conduct; underway
647. 内 | nèi | inside; inner; internal
648. 通过 | tōng guò | to pass through; to get through; to adopt (a resolution); to pass (legislation); to pass (a test)
649. 无 | wú | not to have; no; none
650. 一切 | yī qiè | everything; every; all
651. 由 | yóu | to follow; from; because of; due to
652. 任何 | rèn hé | any; whatever; whichever
653. 安全 | ān quán | safe; secure; safety; security
654. 结果 | jiē guǒ | to bear fruit
655. 完全 | wán quán | complete; whole; totally; entirely
656. 发 | fā | to send out; to show (one's feeling); to issue
657. 计划 | jì huà | plan; project; program
658. 可是 | kě shì | but; however; (used for emphasis) indeed
659. 连 | Lián | surname Lian
660. 呀 | ya | (particle equivalent to 啊 after a vowel, expressing surprise or doubt)
661. 原因 | yuán yīn | cause; origin; root cause
662. 消息 | xiāo xi | news; information
663. 只要 | zhǐ yào | if only; so long as
664. 干 | gān | old variant of 干
665. 接受 | jiē shòu | to accept; to receive
666. 其中 | qí zhōng | among; in; included among these
667. 成功 | Chéng gōng | Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan
668. 甚至 | shèn zhì | even; so much so that
669. 拉 | lā | to pull; to play (a bowed instrument); to drag
670. 肯定 | kěn dìng | to be certain; to be positive; assuredly
671. 当时 | dāng shí | then; at that time; while
672. 调查 | diào chá | investigation; inquiry; to investigate
673. 部分 | bù fen | part; share; section
674. 能力 | néng lì | capability; ability
675. 保护 | bǎo hù | to protect; to defend; to safeguard
676. 真正 | zhēn zhèng | genuine; real; true; really; indeed
677. 支持 | zhī chí | to be in favor of; to support; to back
678. 掉 | diào | to fall; to drop; to lag behind
679. 改变 | gǎi biàn | to change; to alter; to transform
680. 方法 | fāng fǎ | method; way; means
681. 保证 | bǎo zhèng | guarantee; to guarantee; to ensure
682. 直接 | zhí jiē | direct (opposite: indirect 间接); immediate; straightforward
683. 组织 | zǔ zhī | to organize; organization; (biology) tissue
684. 永远 | yǒng yuǎn | forever; eternal
685. 也许 | yě xǔ | perhaps; maybe
686. 方面 | fāng miàn | respect; aspect; field
687. 活动 | huó dòng | to exercise; to move about; to operate
688. 考虑 | kǎo lǜ | to think over; to consider; consideration
689. 份 | fèn | classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分
690. 提供 | tí gōng | to offer; to supply; to provide
691. 指 | zhǐ | finger; to point at or to; to indicate or refer to
692. 精神 | jīng shén | spirit; mind; consciousness
693. 使用 | shǐ yòng | to use; to employ; to apply
694. 代表 | dài biǎo | representative; delegate; to represent
695. 任务 | rèn wu | mission; assignment; task; duty; role
696. 联系 | lián xì | variant of 联系
697. 因此 | yīn cǐ | thus; consequently; as a result
698. 台 | Tái | Taiwan (abbr.); surname Tai
699. 算 | suàn | to regard as; to figure; to calculate
700. 获得 | huò dé | to obtain; to receive; to get
