801. 正式 | zhèng shì | formal; official
802. 引起 | yǐn qǐ | to give rise to; to lead to; to cause; to arouse
803. 从来 | cóng lái | always; at all times; never (if used in negative sentence)
804. 抱 | bào | to hold; to carry (in one's arms); to hug
805. 内容 | nèi róng | content; substance; details
806. 律师 | lǜ shī | lawyer
807. 通知 | tōng zhī | to notify; to inform; notice
808. 感情 | gǎn qíng | emotion; sentiment; affection
809. 目的 | mù dì | purpose; aim; goal; target; objective
810. 观众 | guān zhòng | spectators; audience; visitors (to an exhibition etc)
811. 国际 | guó jì | international
812. 美丽 | měi lì | beautiful
813. 经验 | jīng yàn | experience; to experience
814. 破 | pò | broken; damaged; worn out
815. 推 | tuī | to push; to cut; to refuse
816. 刀 | Dāo | surname Dao
817. 科学 | kē xué | science; scientific knowledge; scientific
818. 心情 | xīn qíng | mood; frame of mind
819. 标准 | biāo zhǔn | standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard
820. 职业 | zhí yè | occupation; profession; vocation; professional
821. 精彩 | jīng cǎi | wonderful; marvelous; brilliant
822. 范围 | fàn wéi | range; scope; limit
823. 速度 | sù dù | speed; rate; velocity
824. 实在 | shí zài | really; actually; indeed
825. 效果 | xiào guǒ | result; effect; efficacy
826. 遍 | biàn | variant of 遍
827. 经济 | jīng jì | economy; economic
828. 按照 | àn zhào | according to; in accordance with; in the light of
829. 反对 | fǎn duì | to oppose; to be against; to object to
830. 竟然 | jìng rán | unexpectedly; to one's surprise; in spite of everything
831. 重点 | chóng diǎn | to recount (e.g. results of election); to re-evaluate
832. 倍 | bèi | (two, three etc) -fold; times (multiplier); double
833. 醒 | xǐng | to wake up; to be awake; to become aware
834. 讨厌 | tǎo yàn | to dislike; to loathe; disagreeable
835. 输 | shū | to lose; to be beaten; (bound form) to transport; (literary) to donate; to contribute
836. 咱们 | zán men | we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you
837. 免费 | miǎn fèi | free (of charge)
838. 否则 | fǒu zé | otherwise; if not; or (else)
839. 动作 | dòng zuò | movement; motion; action; to act; to move
840. 俩 | liǎ | two (colloquial equivalent of 两个); both; some
841. 增加 | zēng jiā | to raise; to increase
842. 著名 | zhù míng | famous; noted; well-known
843. 拒绝 | jù jué | to refuse; to decline; to reject
844. 帅 | Shuài | surname Shuai
845. 不仅 | bù jǐn | not just; not limited to; (as a correlative conjunction) not only (..., but also ...)
846. 顺利 | shùn lì | smoothly; without a hitch
847. 艺术 | yì shù | art
848. 麻烦 | má fan | trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble
849. 申请 | shēn qǐng | to apply for sth; application form
850. 演出 | yǎn chū | to act (in a play); to perform; to put on (a performance)
851. 猪 | zhū | hog; pig; swine
852. 竞争 | jìng zhēng | to compete; competition
853. 估计 | gū jì | to estimate; to reckon; (coll.) to suppose
854. 失败 | shī bài | to be defeated; to lose; to fail (e.g. experiments)
855. 世纪 | shì jì | century
856. 制造 | zhì zào | to manufacture; to make
857. 不得不 | bù dé bù | have no choice or option but to; cannot but; have to
858. 当地 | dāng dì | local
859. 允许 | yǔn xǔ | to permit; to allow
860. 大概 | dà gài | roughly; probably; rough
861. 教授 | jiào shòu | professor; to instruct; to lecture on
862. 吸引 | xī yǐn | to attract; to appeal to; to fascinate
863. 顿 | dùn | to stop; to pause; to arrange
864. 共同 | gòng tóng | common; joint; jointly
865. 杂志 | zá zhì | magazine
866. 既然 | jì rán | since; as; this being the case
867. 停止 | tíng zhǐ | to stop; to halt; to cease
868. 提醒 | tí xǐng | to remind; to call attention to; to warn of
869. 演员 | yǎn yuán | actor or actress; performer
870. 态度 | tài du | manner; bearing; attitude
871. 周围 | zhōu wéi | environs; surroundings; periphery
872. 丢 | diū | to lose; to put aside; to throw
873. 复杂 | fù zá | complicated; complex
874. 表达 | biǎo dá | to express; to convey
875. 数字 | shù zì | numeral; digit; number
876. 邀请 | yāo qǐng | to invite; invitation
877. 交通 | jiāo tōng | to be connected; traffic; transportation
878. 优秀 | yōu xiù | outstanding; excellent
879. 亮 | liàng | bright; clear; resonant
880. 篇 | piān | sheet; piece of writing; bound set of bamboo slips used for record keeping (old)
881. 儿童 | ér tóng | child
882. 最好 | zuì hǎo | best; (you) had better (do what we suggest)
883. 味道 | wèi dao | flavor; taste; (fig.) feeling (of ...); sense (of ...); hint (of ...); (fig.) interest; delight
884. 断 | duàn | to break; to snap; to cut off
885. 千万 | qiān wàn | ten million; countless; many
886. 出发 | chū fā | to set off; to start (on a journey)
887. 距离 | jù lí | distance; to be apart from
888. 轻松 | qīng sōng | light; gentle; relaxed
889. 墙 | qiáng | variant of 墙, wall
890. 毕业 | bì yè | graduation; to graduate; to finish school
891. 怀疑 | huái yí | to doubt (sth); to be skeptical of; to have one's doubts
892. 修 | Xiū | surname Xiu
893. 价格 | jià gé | price
894. 戴 | Dài | surname Dai
895. 究竟 | jiū jìng | to go to the bottom of a matter; after all; when all is said and done
896. 轻 | qīng | light; easy; gentle
897. 然而 | rán ér | however; yet; but
898. 交流 | jiāo liú | to exchange; exchange; communication
899. 兴奋 | xīng fèn | excited; excitement; (physiology) excitation
900. 困 | kùn | to trap; to surround; hard-pressed
