点|⿱占灬|dot, point, speck
没|⿰氵殳|not, none, gone; to bury; to sink, to drown
下|⿱一卜|below, underneath; inferior; to bring down; next
里|⿱田土|unit of distance equal to 0.5km; village; lane
现|⿰王见|to appear, to manifest; current, now
年|⿻干？|year; anniversary; a person's age
多|⿱夕夕|much, many, multi-; more than, over
吗|⿰口马|final interrogative particle
太|⿵大丶|very, too much; big; extreme
呢|⿰口尼|wool; interrogative or emphatic final particle
小|⿻亅八|small, tiny, insignificant
时|⿰日寸|time, season; period, era, age
候|⿰亻矦|to wait, to expect; to visit; to greet
工|⿱一丄|labor, work; laborer, worker
作|⿰亻乍|to make; to write, to compose; to act, to perform
家|⿱宀豕|house, home, residence; family
怎|⿱乍心|what? why? how?
爱|⿱⿱爫冖友|to love, to like, to be fond of; love, affection
喜|⿱壴口|to love; to enjoy, to be happy; joyful, glad
欢|⿰又欠|happy, glad, joyful
吃|⿰口乞|to eat; to drink; to suffer, to endure, to bear
谁|⿰讠隹|who? whom? whose? anyone?
今|⿱人？|modern, current; today, now
天|⿱一大|sky, heaven; god, celestial
几|⿰丿乙|small table; how many; a few, some
听|⿰口斤|to hear, to listen; to understand; to obey
开|⿱一廾|to open; to start, to initiate, to begin
叫|⿰口丩|cry, shout; to call, to greet, to hail
钱|⿰钅戋|money, currency, coins
本|⿻木一|root, origin, source; basis
回|⿴囗口|to return, to turn around; a time
三|⿱一二|three
买|⿱乛头|to buy, to purchase; to bribe, to persuade
岁|⿱山夕|year; years old, age; harvest
住|⿰亻主|to reside, to live at, to dwell, to lodge; to stop
朋|⿰月月|friend, pal, acquaintance
友|⿸？又|friend, companion; fraternity
水|⿻亅？|water, liquid, lotion, juice
写|⿱冖与|to write; to draw, to sketch; to compose
日|⿴口一|sun; day; daytime
喝|⿰口曷|to drink; to shout, to call out
学|⿱⿱⺍冖子|learning, knowledge, science; to study, to go to school; -ology
校|⿰木交|school; military field officer
坐|⿻从土|seat; to sit; to ride, to travel by
认|⿰讠人|to know, to recognize, to understand
识|⿰讠只|knowledge; to understand, to recognize, to know
钟|⿰钅中|clock; bell
明|⿰日月|bright, clear; to explain, to understand, to shed light
四|⿴囗儿|four
块|⿰土夬|piece, lump, chunk; dollar; measure word for currency
谢|⿰讠射|to thank; to refuse politely
少|⿱小丿|few, little; less; inadequate
妈|⿰女马|mother, mama
电|⿻曰乚|electricity; electric; lightning
影|⿰景彡|shadow; image, reflection; photograph
哪|⿰口那|which? where? how?
昨|⿰日乍|yesterday; formerly, in the past
书|⿻？丨|book, letter, document; writing
五|⿴二？|five; surname
先|⿱⿰？土儿|first, former, previous
生|⿻一土|life, lifetime; birth; growth
医|⿷匸矢|to cure, to heal, to treat; doctor; medicine
院|⿰阝完|court, yard, courtyard; school
些|⿱此二|little, few; rather, somewhat
狗|⿰犭句|dog
二|⿱一一|two; twice
儿|⿰丿乚|son, child
子|⿻了一|son, child; seed, egg; fruit; small thing
中|⿻口丨|central; center, middle; amidst; to hit (target), to attain; China; Chinese
国|⿴囗玉|country, nation, state; national
视|⿰礻见|to look at, to inspect, to observe, to regard
午|⿻丿干|noon; 7th terrestrial branch
习|⿹？冫|to study, to practice; habit
老|⿱耂匕|old, aged; experienced
师|⿰刂帀|teacher, professional, master
六|⿱亠八|six
字|⿱宀子|character, letter, symbol, word
十|⿻一丨|ten, tenth; complete; perfect
见|⿵冂儿|to see, to observe, to meet, to appear
女|？|woman, girl; female
说|⿰讠兑|to speak, to say; to scold, to upbraid
话|⿰讠舌|talk, speech; language, dialect
爸|⿱父巴|father, papa
漂|⿰氵票|to drift, to float; to be tossed about; bleach
亮|⿳亠口⿱冖几|bright, brilliant, radiant, light
兴|⿳⺍一八|to thrive, to prosper, to flourish
热|⿱执灬|heat, fever, zeal
睡|⿰目垂|to sleep, to doze
脑|⿰⺼⿱亠凶|brain
读|⿰讠卖|to study, to learn; to read, to pronounce
冷|⿰冫令|cold, cool; lonely
飞|⿻？？|to fly, to dart; high
猫|⿰犭苗|cat
打|⿰扌丁|to attack, to beat, to hit, to strike
后|⿸？口|after; behind, rear; descendants
面|⿱？？|face; surface, side; plane, dimension
喂|⿰口畏|interjection used to call attention
八|？|eight; all around, all sides
样|⿰木羊|form, pattern, shape, style
七|⿻一乚|seven
