菜|⿱艹采|vegetables; order, dish; food
衣|⿱亠？|cloth; clothes, apparel; dress, coat
服|⿰月⿸卩又|clothes; to dress, to wear; to take medicine
姐|⿰女且|elder sister; miss, young lady
起|⿺走己|to begin, to initiate; to rise, to stand up
气|⿱亻？|air, gas; steam, vapor; anger
前|⿱⿱丷一刖|in front, forward; former, preceding
同|⿵凡口|same, similar; together with, alike
茶|⿱艹⿱人木|tea; tea leaves; tea plant
星|⿱日生|star, planet; a point of light
期|⿰其月|a period of time; date, time; phase
九|⿻丿乙|nine
再|⿱一冉|again, twice, re-
苹|⿱艹平|apple; duckweed, Artemisia
果|⿱田木|fruit, nut; result
出|⿱屮凵|to go out, to send out; stand; produce
租|⿰禾且|to rent, to lease; tax, rent
车|⿻七十|cart, vehicle; to move in a cart
商|⿱⿱亠丷冏|commerce, business, trade
店|⿸广占|shop, store; inn, hotel
关|⿱丷天|frontier pass; to close, to shut; relation
系|⿱丿糸|system; line, link, connection
零|⿱雨令|zero; fragment, fraction
桌|⿱卓木|table, stand, desk, counter
椅|⿰木奇|chair, seat
北|⿰？匕|north; northern; northward
京|⿳亠口小|capital city
雨|⿻帀？|rain
杯|⿰木不|cup, glass; measure word for liquids
火|⿻丷人|fire, flame; to burn; anger, rage
站|⿰立占|stand, station; to halt, to stand; website; measure word for stands and stations
米|⿻丷木|rice, millet, grain
饭|⿰饣反|meal, food; cooked rice
汉|⿰氵又|Chinese people; Chinese language
语|⿰讠吾|words, language; saying, expression
馆|⿰饣官|public building; shop, house, establishment
客|⿱宀各|guest, traveller; customer
就|⿰京尤|just, simply; to go to; to approach, near
也|⿻？乚|also, too
到|⿰至刂|to go to, to arrive
还|⿺辶不|also, besides; still, yet; to return
着|⿸羊目|to make a move, to take action
给|⿰纟合|to give, to lend; for, by
让|⿰讠上|to allow, to permit, to yield
为|⿻丶⿴力丶|to do, to act; to handle, to govern; to be
以|⿰？人|according to; so as to; because of; then
吧|⿰口巴|emphatic final particle
从|⿰人人|from, by, since, whence, through
真|⿱直几|real, actual, true, genuine
已|？|already; finished; to stop; then, afterwards
经|⿰纟⿱？工|the classics; to experience, to undergo
最|⿱日取|most, extremely, exceedingly; superlative
因|⿴囗大|cause, reason; by; because
次|⿰冫欠|order, sequence; second, next; one after the other
道|⿺辶首|method, way; path, road
问|⿵门口|to ask about, to inquire after
题|⿺是页|forehead; headline, title; theme
它|⿱宀匕|it; other
但|⿰亻旦|only; but, however, yet, still
间|⿵门日|between, among; midpoint; space, place, locality
始|⿰女台|to begin, to start; beginning
新|⿰亲斤|new, recent, fresh, modern
找|⿰扌戈|to search for, to look for, to find; change (as in money)
比|⿰匕匕|to compare, liken; comparison; than
向|⿵？口|towards; direction, trend
希|⿱乂布|rare; to hope for, to strive for; to expect
望|⿱⿰亡月王|to expect, to hope, to look forward to
非|⿰？？|not, negative, non-; to oppose
常|⿱尚巾|common, general, normal; always, frequently, regularly
孩|⿰子亥|baby, child; children
别|⿰另刂|to separate, to distinguish, to classify; to leave; other; do not, must not
公|⿱八厶|fair, equitable; public; duke
司|⿹？口|to take charge of, to control, to manage; officer
第|⿱⺮弟|sequence, number; grade, degree; particle prefacing an ordinal
告|⿱牛口|to tell, to inform, to announce; to accuse
诉|⿰讠斥|to accuse, to sue; to inform; to narrate
事|⿻⿳一口彐亅|affair, matter, business; to serve; accident, incident
号|⿱口丂|mark, sign; symbol; number; to call, to cry, to roar
件|⿰亻牛|item, matter; component, part; measure word for events
张|⿰弓长|to display; to expand, to open; to stretch; a sheet of paper
准|⿰冫隹|standard, accurate; to permit, to approve, to allow
备|⿱夂田|to prepare; to get ready, to equip; ready; perfect
进|⿺辶井|to advance, to make progress; to come in, to enter
每|⿱？母|each, every
您|⿱你心|honorific for 'you'
送|⿺辶关|to see off, to send off, to dispatch; to give
笑|⿱⺮夭|to smile, to laugh; to giggle; to snicker
完|⿱宀元|to complete, to finish, to settle; whole
路|⿰足各|road, path, street; journey
玩|⿰王元|to play with, to joke, to entertain
男|⿱田力|man, boy; male; baron; surname
正|⿱一止|straight, right, proper, correct, just, true
门|⿰⿱丶丨？|gate, door, entrance, opening
穿|⿱穴牙|to drill, to pierce; to dress, to wear
外|⿰夕卜|out, outside, external; foreign; in addition
帮|⿱邦巾|to help, to assist; to support, to defend; party; gang
助|⿰且力|to help, to aid, to assist
晚|⿰日免|night, evening; late
错|⿰钅昔|error, mistake; incorrect, wrong
卖|⿱十买|to sell; to betray; to show off
