远|⿺辶元|distant, remote, far; profound
懂|⿰忄董|to understand, to know
药|⿱艹约|drugs, medicine; the leaf of the Dahurian angelica plant
黑|⿱？灬|black; dark; evil, sinister
身|？|body, torso; person; pregnancy
体|⿰亻本|body; group, class; form, style, system
元|⿱二儿|first; dollar; origin; head
介|⿱人？|agent, go-between, intermediary; to introduce; shell, armor
绍|⿰纟召|to connect; to introduce
红|⿰纟工|red, vermillion; to blush, to flush; popular
迎|⿺辶卬|to welcome, to receive, to greet
眼|⿰目艮|eyelet, hole, opening
睛|⿰目青|eyeball; pupil
近|⿺辶斤|to approach; near, close; intimate
忙|⿰忄亡|busy, hurried, pressed for time
离|⿱⿱亠凶禸|rare beast; strange; elegant
白|⿻？日|white; clear, pure, unblemished; bright
票|⿱覀示|bank note; ticket; vote; a slip of paper
早|⿱日十|early; soon; morning
答|⿱⺮合|answer, reply; to return; to assent to
运|⿺辶云|to run; ship, transport; fortune, luck
动|⿰云力|to move, to happen; movement, action
妻|⿱⿻十彐女|wife
鱼|⿱⿱⺈田一|fish
累|⿱田糸|tired; to accumulate; to involve; bother, nuisance
息|⿱自心|to end, to cease, to put a stop to; pause, breath, rest; news
洗|⿰氵先|to bathe, to rinse, to wash
船|⿰舟⿱几口|ship, boat, vessel
房|⿸户方|building, house, room
丈|⿻一又|gentleman, man, husband; unit of length equal to 3.3 meters
夫|⿻一大|man, husband; worker; those
班|⿲王刂王|class, squad, team, work shift
课|⿰讠果|subject, lesson, course; classwork
哥|⿱可可|elder brother
考|⿸耂丂|to test, to investigate, to examine
试|⿰讠式|to try, to experiment; exam, test
千|⿱丿十|thousand; many, numerous; very
慢|⿰忄曼|slowly, leisurely; sluggish
旁|⿱立方|side; beside, close, nearby
边|⿺辶力|border, edge, margin, side
颜|⿰彦页|face, facial appearance
色|⿱⺈巴|color, tint, hue, shade; beauty, form; sex
雪|⿱雨彐|snow; wipe away shame, avenge
妹|⿰女未|younger sister
报|⿰扌⿸卩又|to announce, to report; newspaper; payback, revenge
纸|⿰纟氏|paper
贵|⿱⿱中一贝|expensive, costly; valuable, precious
场|⿰土勿|field, open space; market, square; stage
踢|⿰足易|to kick
弟|⿱丷⿻弓？|young brother, junior
百|⿱一白|one hundred; numerous, many
旅|⿰方⿱？氏|journey, trip; to travel
游|⿰氵斿|to wander, to travel, to tour, to roam
床|⿸广木|bed, couch; framework, chassis
唱|⿰口昌|to sing, to chant, to call; ditty, song
歌|⿰哥欠|song, lyrics; to sing, to chant
右|⿸？口|right; right-wing
牛|？|ox, cow, bull
奶|⿰女乃|milk; breasts; nurse, grandmother
鸡|⿰又鸟|chicken
蛋|⿱疋虫|egg
姓|⿰女生|name, family name, surname; clan, people
泳|⿰氵永|to swim, to dive
跳|⿰足兆|to hop, to skip; to jump, to leap; to vault; to dance
舞|⿱無舛|to dance; to brandish
阴|⿰阝月|the female principle; dark, shaded; hidden, implicit, secret
病|⿸疒丙|sickness, illness, disease
左|⿸？工|left; unorthodox, improper
斤|⿸厂下|a catty (about 500 grams); an axe; keen, shrewd
教|⿰孝攵|school, education
室|⿱宀至|house, home; room, chamber
务|⿱夂力|affairs, business; should; must
员|⿱口贝|employee; member; personnel, staff
表|⿱毛衣|to show, to express, to display; outside, appearance; a watch
跑|⿰足包|to run, to flee, to escape
步|⿱止？|walk, stroll, pace, march; to make progress
瓜|⿵？厶|melon, gourd, squash, cucumber
羊|⿱丷？|sheep, goat
肉|⿻冂仌|meat; flesh
共|⿳廾一八|all, total; together; to share
汽|⿰氵气|gasoline; steam, vapor
篮|⿱⺮监|basket; goal
球|⿰王求|ball, globe, sphere; round
啊|⿰口阿|ah, exclamatory particle
把|⿰扌巴|to grasp, to hold; to guard, to take; handle
被|⿰衤皮|bedding; a passive particle meaning "by"
己|⿱？乚|self, oneself; personal, private; 6th heavenly stem
用|⿵冂？|to use, to employ, to apply; use
如|⿰女口|as, as if, like, such as, supposing
又|？|and, also, again, in addition
只|⿱口八|only, merely, just
更|⿱一⿻曰乂|more, further; to shift, to alternate; to modify
需|⿱雨而|to need, to require; must
地|⿰土也|earth, ground, soil; land, region; structural particle used before a verb
才|⿻扌？|ability, talent, gift; just, only
跟|⿰足艮|heel; to accompany, to follow; with
像|⿰亻象|picture, image, figure; to resemble
应|⿸广⿱⺍一|should, must; to respond, to handle; to deal with, to cope
该|⿰讠亥|should, ought to, must
位|⿰亻立|seat, throne; rank, status; position, location
