轻|⿰车⿱又工|light, gentle; simple, easy
久|⿻勹？|long ago; a long time
演|⿰氵寅|to perform, to act, to put on a play
刚|⿰冈刂|hard, strong, tough; just, barely
环|⿰王不|bracelet, ring; to surround, to loop
境|⿰土竟|boundary, frontier; area, region
祝|⿰礻兄|to pray; to wish well; surname
层|⿸尸云|layer, floor, story, stratum
腿|⿰⺼退|legs, thighs
坏|⿰土不|bad, rotten, spoiled; to break down
鞋|⿰革圭|shoes, footwear in general
惯|⿰忄贯|habit, custom; habitual, usual
变|⿱亦又|to change, to transform, to alter; rebel
化|⿰亻匕|to change, to convert, to reform; -ize
周|⿵冂⿱土口|Zhou dynasty; circumference
末|⿻木一|end, final, last; insignificant
忘|⿱亡心|to forget, to miss, to neglect, to overlook
算|⿱⺮具|to calculate, to count; to figure, to plan
极|⿰木及|extreme, top; final, furthest, utmost; pole
物|⿰牛勿|thing, substance, matter; creature
饿|⿰饣我|hungry; greedy
树|⿰木对|tree; to plant; to set up, to establish
平|⿻干丷|flat, level, even; peaceful
借|⿰亻昔|to borrow; to lend; excuse, pretext
头|⿻⺀大|head; chief, boss; first, top
害|⿱宀⿱丰口|to injure, to harm; to destroy, to kill
怕|⿰忄白|to fear, to be afraid of; apprehensive
鸟|？|bird
蓝|⿱艹监|blue; indigo plant; surname
顾|⿰厄页|to look back; to look at; to look after
文|⿱亠乂|culture, literature, writing
疼|⿸疒冬|ache, pain; to love dearly
奇|⿱大可|strange, unusual, odd; uncanny, occult
怪|⿰忄圣|unusual, strange, peculiar
礼|⿰礻乚|courtesy, manners, social customs
南|⿱十⿵冂⿱丷干|south; southern; southward
提|⿰扌是|to hold in the hand; to lift, to raise
满|⿰氵⿱艹两|to fill; full, packed; satisfied
旧|⿰丨日|old, ancient; former, past
黄|⿱？⿱由八|yellow; surname
趣|⿺走取|interest; interesting; what attracts one's attention
绩|⿰纟责|achievements, merit
聪|⿰耳总|sharp (of sight and hearing); intelligent, clever, bright
阳|⿰阝日|the male principle; bright, sunny; clear, lit, open
灯|⿰火丁|lamp, lantern, light
糖|⿰米唐|candy, sugar, sweets
园|⿴囗元|garden, park; orchard
骑|⿰马奇|to ride, to mount; cavalry
搬|⿰扌般|to move, to remove, to shift, to transfer
舒|⿰舍予|relaxed, comfortable; to unfold, to stretch out
育|⿱⿱亠厶⺼|to produce, to give birth to; to educate
角|⿱⺈用|angle, corner; horn, horn-shaped
胖|⿰⺼半|fat, plump, obese; a fat person
干|⿱一十|arid, dry; to oppose; to offend; to invade
净|⿰冫争|clean, pure; to cleanse
草|⿱艹早|grass, herbs; straw, thatch
甜|⿰舌甘|sweet, sweetness
安|⿱宀女|peaceful, tranquil, quiet
静|⿰青争|still, quiet, motionless, gentle
业|⿱？一|business, profession; to study, to work
瘦|⿸疒叟|thin, lean, emaciated; meager
绿|⿰纟录|green; chlorine
啤|⿰口卑|beer
酒|⿰氵酉|wine, spirits, liquor, alcohol
糕|⿰米羔|cake, pastry
鲜|⿰鱼羊|fresh; delicious; attractive
碗|⿰石宛|bowl, small dish
数|⿰娄攵|count, number, several
铁|⿰钅失|iron; strong, solid, firm
刷|⿰⿸尸巾刂|brush; to clean, to scrub
厨|⿸厂⿰豆寸|kitchen; closet, cupboard
练|⿰纟柬|to drill, to exercise; to practice, to train
爷|⿱父卩|grandfather, old man
云|⿱二厶|cloud; to say, to speak
邻|⿰令阝|neighbor; neighborhood
居|⿸户古|to live, to reside; to dwell; to sit
耳|⿻？二|ear; to hear, to hear of; handle
朵|⿱几木|cluster of flowers; earlobe; an item on both sides
鼻|⿱自畀|nose; first
叔|⿰⿱上小又|uncle; father's younger brother
澡|⿰氵喿|to wash, to bathe
图|⿴囗冬|diagram, chart, map, picture; to plan
帽|⿰巾冒|hat, cap
街|⿻行圭|street, road, thoroughfare
感|⿱咸心|to affect, to move, to touch; to perceive, to sense
冒|⿱日目|to risk, to brave, to dare
迟|⿺辶尺|tardy, slow, late; to delay
刻|⿰亥刂|to carve, to engrave; a quarter hour; a moment
锻|⿰钅段|to temper, to refine; to forge metal
炼|⿰火柬|to smelt, to refine; to distill, to condense
裤|⿰衤库|pants, trousers
夏|⿳一自夂|summer; the Xia or Hsia dynasty
梯|⿰木弟|ladder, steps, stairs
刮|⿰舌刂|to shave; to scrape; to blow
矮|⿰矢委|short, low; dwarf
镜|⿰钅竟|mirror, glass; lens, glasses
网|⿵冂⿰乂乂|net; network
春|⿱？日|springtime; joyful, lustful, wanton
冰|⿰冫水|ice; ice-cold
箱|⿱⺮相|box, case; chest, trunk
