艺|⿱艹乙|art; talent, ability; craft
麻|⿸广林|hemp, flax, sesame; numb
烦|⿰火页|to bother, to trouble, to vex
申|⿻日丨|to report; to extend; to explain; to declare
猪|⿰犭者|pig, hog, wild boar
竞|⿱立兄|to compete, to contend, to vie
争|⿱⺈⿻彐亅|to dispute, to fight, to contend, to strive
估|⿰亻古|merchant; to estimate, to guess, to presume
失|⿻丿夫|to lose; to make a mistake, to neglect
败|⿰贝攵|failure; to decline, to fail, to suffer defeat
纪|⿰纟己|discipline, age; period, era; record, annal
制|⿰⿻？巾刂|system; to establish; to manufacture; to overpower
造|⿺辶告|to build, to construct, to invent, to manufacture
允|⿱厶儿|to grant, to consent; just, fair
概|⿰木既|generally, probably, approximately
授|⿰扌受|to award, to confer, to instruct, to teach
吸|⿰口及|to inhale, to suck in; to absorb; to attract
顿|⿰屯页|to pause; to bow; to arrange
杂|⿱九木|mix, blend; various, miscellaneous
志|⿱士心|determination, will; mark, sign; to record, to write
既|⿰？旡|already, since, then; both; de facto
停|⿰亻亭|to suspend, to halt, to delay; suitable
止|⿻上丨|to stop, to halt; to detain; to desist
态|⿱太心|manner, bearing, attitude
丢|⿱王厶|to lose; to discard
达|⿺辶大|to reach, to arrive at; intelligent
邀|⿺辶敫|to invite, to welcome; to intercept, to meet
优|⿰亻尤|superior; elegant
秀|⿱禾乃|elegant, graceful, refined; flowing, luxuriant
篇|⿱⺮扁|chapter, section; article, essay
童|⿱立里|child, boy; servant boy; virgin
味|⿰口未|taste; smell, odor; delicacy
断|⿰⿺？米斤|to sever, to cut off, to interrupt
距|⿰足巨|distance, gap
松|⿰木公|pine tree; fir tree
墙|⿰土啬|wall
毕|⿱比十|to finish, to conclude, to end; completed
怀|⿰忄不|bosom, breast; to carry in one's bosom
疑|⿰⿱匕矢⿱？疋|to doubt, to question, to suspect
修|⿱攸彡|to study; to repair; to decorate; to cultivate
价|⿰亻介|price, value
格|⿰木各|form, pattern, standard
戴|⿻⿱十異戈|to support; to respect; to put on, to wear; surname
究|⿱穴九|to dig into, to investigate; actually, after all
流|⿰氵㐬|to flow, to drift, to circulate; class
奋|⿱大田|to strive, to exert effort; to arouse
符|⿱⺮付|amulet, charm; mark, tag; to correspond to
躺|⿰身尚|to recline, to lie down
案|⿱安木|file, legal case; bench, table
皮|⿸？攴|skin, hide, fur, feathers
肤|⿰⺼夫|skin; shallow, superficial
浪|⿰氵良|breaker, wave; reckless, wasteful
厉|⿸厂万|whetstone; to grind, to sharpen, to whet
尊|⿱酋寸|to honor, to respect, to venerate
激|⿰氵敫|to arouse, to incite; acute, sharp; fierce, violent
骗|⿰马扁|to cheat, to defraud, to swindle
怜|⿰忄令|to pity, to sympathize with
言|⿱亠⿱二口|words, speech; to speak, to say
擦|⿰扌察|to clean, to erase, to polish; a brush
熟|⿱孰灬|well-cooked; ripe, mature; familiar with
聊|⿰耳卯|somewhat, slightly, at least
章|⿱音十|chapter, section, writing; seal
龄|⿰齿令|age; years
惜|⿰忄昔|pity, regret; to rue; to begrudge
忆|⿰忄乙|to remember, to reflect upon; memory
材|⿰木才|timber; material, stuff; talent
料|⿰米斗|ingredients, materials; to conjecture, to guess
悉|⿱釆心|to know, to learn about, to comprehend
随|⿰阝迶|to follow, to listen to, to submit to
撞|⿰扌童|to bump into, to collide, to hit, to knock against
互|⿴二？|mutually, reciprocally
印|⿰？卩|print; mark; seal, stamp
象|⿳⺈口豕|elephant; ivory; figure, image
码|⿰石马|number, numeral, symbol; yard
桥|⿰木乔|bridge; beam, crosspiece
基|⿱其土|foundation, base
础|⿰石出|foundation stone, plinth; basis
赚|⿰贝兼|to earn, to profit, to make money
猜|⿰犭青|to guess, to conjecture, to suppose; to feel
处|⿺夂卜|to reside at, to live in; place, locale; department
食|⿱人良|food; to eat
品|⿱口⿰口口|article, good, product; commodity; quality, character
约|⿰纟勺|treaty, covenant, agreement
暂|⿱斩日|temporary
积|⿰禾只|to store up, to amass, to accumulate
汤|⿰氵昜|soup, gravy, broth; hot water
入|？|to enter, to come in; to join
恐|⿱巩心|fearful, apprehensive; to fear, to dread
仔|⿰亻子|small thing, child; young animal
细|⿰纟田|fine, detailed; slender, thin
及|⿻？又|to extend; to reach; and; in time
具|⿱目⿱一八|tool, implement; to draw up, to write
脱|⿰⺼兑|to take off, to shed; to escape from
苦|⿱艹古|bitter; hardship, suffering
尤|⿻尢丶|especially, particularly
页|⿱？贝|page, sheet, leaf
扔|⿰扌乃|to throw, to hurl, to cast away
博|⿰十尃|to gamble, to play games; to win; rich, plentiful, extensive; wide, broad
士|？|scholar, gentleman; soldier
漫|⿰氵曼|inundating; exaggerated
