手掌|palm
手机|mobile phone
高手|expert
分手|break up; part ways
对手|opponent
快乐|happy
音乐|music
银行|bank
行走|walk
长大|grow up
长江|Yangtze River
重要|important
重复|repeat
便宜|inexpensive
方便|convenient
东西|things; stuff
马虎|careless
咖啡|coffee
葡萄|grape
蝴蝶|butterfly
巧克力|chocolate
不好意思|sorry; embarrassed
莫名其妙|baffling; inexplicable
理所当然|only natural; to be expected
自相矛盾|self-contradictory
画蛇添足|spoil by adding too much
一举两得|achieve two things at once
不知不觉|without noticing
我们|we; us
什么|what
现在|now
时候|time; when
工作|work; job
怎么|how
喜欢|like
今天|today
