朋友|friend
学校|school
认识|recognize; know
分钟|minute
明天|tomorrow
谢谢|thank you
多少|how much; how many
妈妈|mother
电影|movie
昨天|yesterday
先生|Mr.; gentleman
医院|hospital
学生|student
儿子|son
中国|China
电视|television
下午|afternoon
学习|study; learn
老师|teacher
医生|doctor
名字|name
看见|see; catch sight of
女儿|daughter
说话|speak; talk
爸爸|father
漂亮|beautiful
高兴|glad; happy
睡觉|sleep
电脑|computer
飞机|airplane
打电话|make a phone call
后面|behind
怎么样|how is it?
衣服|clothes
小姐|Miss; young lady
对不起|sorry
天气|weather
前面|in front
同学|classmate
星期|week
上午|morning
再见|goodbye
苹果|apple
中午|noon
出租车|taxi
水果|fruit
商店|shop
没关系|it doesn't matter
桌子|table; desk
椅子|chair
北京|Beijing
下雨|rain
杯子|cup; glass
火车站|train station
米饭|cooked rice
汉语|Chinese language
饭馆|restaurant
不客气|you're welcome
可以|may; can
