特别|special; especially
注意|pay attention
离开|leave
以为|think mistakenly
城市|city
影响|influence; affect
游戏|game
比较|compare; relatively
最近|recently
终于|finally
总是|always
除了|except; besides
突然|suddenly
检查|check; inspect
容易|easy
明白|understand
根据|according to
记得|remember
简单|simple
愿意|willing
清楚|clear; clearly
照片|photograph
故事|story
一般|ordinary; average
可爱|cute
新闻|news
声音|sound; voice
马上|immediately
表示|express; indicate
经过|pass through
历史|history
会议|meeting
经常|often
节目|program; show
健康|healthy; health
作用|function; effect
结婚|get married
同意|agree
几乎|almost
认真|careful; serious
附近|nearby
主要|main
遇到|encounter; meet
年轻|young
表演|perform; performance
刚才|just now
办公室|office
环境|environment; surroundings
关心|care about
一边|while doing something else
习惯|habit
变化|change
周末|weekend
忘记|forget
打算|plan; intend
小心|be careful
举行|hold an event
动物|animal
水平|level; standard
头发|hair
害怕|afraid
