照顾|take care of
文化|culture
奇怪|strange
礼物|gift
提高|improve; raise
满意|satisfied
司机|driver
经理|manager
兴趣|interest
帮忙|help; lend a hand
电子|electronic
见面|meet in person
成绩|grades; results
中间|middle; between
聪明|clever
多么|how…!
太阳|sun
相同|identical; same
生气|angry
公园|park
热情|enthusiastic; welcoming
一会儿|a little while
同事|colleague
舒服|comfortable
体育|sports; physical education
干净|clean
放心|feel reassured
安静|quiet
作业|homework
啤酒|beer
蛋糕|cake
新鲜|fresh
难过|sad
客人|guest; customer
奶奶|paternal grandmother
数学|mathematics
地铁|subway
厨房|kitchen
练习|practice
爷爷|paternal grandfather
邻居|neighbor
校长|school principal
花园|garden
耳朵|ear
节日|festival; holiday
鼻子|nose
叔叔|uncle; father's younger brother
洗澡|bathe; shower
地图|map
帽子|hat
街道|street
感冒|catch a cold
迟到|arrive late
锻炼|exercise; train
裤子|trousers
图书馆|library
电梯|elevator
眼镜|glasses
上网|go online
面包|bread
冰箱|refrigerator
阿姨|aunt; auntie
超市|supermarket
着急|anxious; in a hurry
季节|season
空调|air conditioner
一共|altogether
月亮|moon
北方|the north
爱好|hobby
衬衫|shirt
宾馆|hotel
裙子|skirt
香蕉|banana
发烧|have a fever
