有名|famous
打扫|clean; sweep
复习|review
熊猫|panda
护照|passport
菜单|menu
年级|school grade
果汁|fruit juice
面条|noodles
盘子|plate
铅笔|pencil
洗手间|washroom
词语|word; expression
句子|sentence
照相机|camera
筷子|chopsticks
字典|character dictionary
普通话|Mandarin
爬山|climb a mountain
黑板|blackboard
行李箱|suitcase
起来|get up; rise
生活|life; live
发生|happen
不过|however
所有|all
情况|situation
最后|last; finally
成为|become
感觉|feel; sensation
继续|continue
进行|carry out; be underway
通过|pass through; pass
一切|everything
任何|any
安全|safe; safety
结果|result
完全|completely
计划|plan
可是|but
原因|reason; cause
消息|news; message
只要|as long as
接受|accept
其中|among them
成功|succeed; success
甚至|even
肯定|certain
当时|at that time
调查|investigate
部分|part; portion
能力|ability
保护|protect
真正|real; genuine
支持|support
改变|change; alter
方法|method
保证|guarantee; promise
直接|directly
组织|organize; organization
永远|forever
也许|perhaps
方面|aspect
活动|activity
考虑|consider
提供|provide
精神|spirit; mind
使用|use
代表|representative; represent
任务|task
联系|contact
因此|therefore
获得|obtain; receive
