⺀|two icy drops
⺈|curled head
⺊|signpost
⺌|little sparks
⺍|little sparks
⺮|bamboo
⺼|moon
㐬|flowing fringe
㔾|curled figure
丁|nail
丂|bent hook
丄|support
丙|third-place medal
並|side by side
丨|pole
丩|tangled cord
丬|split log
丶|drop
丷|two horns
丿|slash
乂|crossed ribbons
乃|bent pitcher
义|justice
乍|sudden flash
乔|tall arch
乘|rider
乙|bent curl
乚|bent hook
乛|bent cap
乞|beg
亅|hook
予|give
亍|right step
井|well
亚|second place
亠|lid
亡|lost
亥|little boar
亦|also mark
亭|pavilion
亻|person
亼|gathering roof
仌|icy figures
仑|ordered circle
付|pay
令|order
余|surplus
佥|all together
俞|yes stamp
兀|stool
兄|older brother
兆|omen spark
兑|exchange
兵|soldier
兼|two jobs together
冂|open frame
冈|ridge
冉|hanging beard
冋|window tower
冏|bright window
冖|cover
冫|ice
凡|ordinary
凵|open container
凶|fierce
刂|knife
刍|hay
刖|leg cutter
勹|wrapper
勺|spoon
勿|do not enter
匋|pottery jar
匍|crawl
匕|spoon
匸|open box
匹|matched pair
卅|thirty
卑|humble
卓|outstandingly tall
卜|pointing twig
占|fortune-telling stand
卩|kneeling figure
卬|raised face
卯|rabbit-hour gate
厂|cliff
厃|person on cliff
厄|distress
厶|private cocoon
叚|borrowed mask
叟|old man
古|ancient tablet
召|call
吉|lucky token
吏|official
君|ruler
吾|I badge
呆|dazed
呈|present
咅|spitting booth
咸|salty
唐|Tang palace
啬|miser
喿|noisy flock
囗|enclosure
土|earth
圣|saint
圭|stacked earth
垂|droop
壬|spindle
壴|drum stand
夂|walk back
夕|dusk
夬|snapping latch
夭|bending backward
夷|level path
奂|radiant jewel
奴|servant
妾|royal attendant
委|drooping plant
娄|basket wearer
孝|devoted child
孰|which one
宀|roof
官|official
宛|curved shape
寅|tiger-hour stage
寸|thumb
寺|temple
尃|spreading display
射|shoot
尔|you badge
尚|prized object
尢|bent figure
尧|ancient tower
尸|reclining figure
尺|ruler
尼|nun
屮|sprout
屯|camp
川|river
巨|giant
巩|fortified wall
巳|snake coil
巴|curling tail
巾|cloth
帀|cloth circuit
布|cloth banner
库|warehouse
廷|royal court
建|build
廾|raised hands
廿|twenty
弋|dart
弓|bow
弗|rejection mark
彐|broom
录|record
彡|three stripes
彦|scholar portrait
彳|left steps
忄|heart
忝|ashamed face
戈|halberd
戉|ceremonial axe
戋|little blades
户|door
扁|flat banner
扌|hand
执|gripping hand
攵|tap
攸|leisurely traveler
敕|command
敫|released sparks
敬|respectful
斗|measuring scoop
斥|reject
斩|cutting stroke
斿|fluttering flag
旦|dawn
旨|delicious treat
旲|enormous sun
昌|two radiant suns
昏|dusk
昔|old day
昜|rising sunshine
昭|bright daylight
景|landscape
曰|speaking box
曲|curved song
曷|why
曼|long flowing ribbon
曾|once-used platform
未|not-yet-grown tree
枼|leafy tree
柬|invitation
欠|yawn
歹|broken bone
殳|striking club
毛|fur
氏|clan name
氐|low base
氵|water
氺|splashing water
氾|little flood
泉|spring
灬|fire dots
炎|two flames
無|nothing
焦|scorched
爪|claws
爫|reaching claw
牙|tooth
犬|dog
犭|animal
犾|two dogs
玉|jade
王|king
甘|sweet treat
甬|tube
田|field
畀|offer a gift
畏|fear
畐|full jar
異|unusual
疋|cloth roll
疒|sickbed
皿|dish
监|supervisor
矢|arrow
矦|archer
石|stone
礻|altar
祭|ritual
禸|creature tracks
禺|monkey
禾|grain
穴|hole
立|stand
糸|silk
纟|silk
罙|exploring pit
羔|lamb
耂|old figure
聿|writing brush
肖|tiny likeness
肰|dog guarding meat
胡|beard
舌|tongue
舍|cottage
舛|crossing feet
舟|vessel
艮|stubborn clamp
良|good
艹|grass
苗|seedlings
董|director
虍|tiger stripes
虫|insect
衤|clothing
覀|west
觜|beak
讠|speech bubble
谷|valley
豆|bean
豕|pig
贝|shell
贯|threaded coins
辶|road
迶|traveling possession
退|retreat
邦|state
酉|wine jar
酋|chief
釆|scattered grain
采|pick
钅|metal
阝|hill gate
隶|scribe
隹|little bird
革|leather
韦|soft leather
饣|food
齐|aligned row
齿|teeth
龶|plant shoots
